,AwayTeam,AwayValue,HomeTeam,HomeValue,B365A,B365D,B365H,BWA,BWD,BWH,IWA,IWD,IWH,VCA,VCD,VCH,WHA,WHD,WHH
1995,16.0,61550000.0,2.0,98300000.0,4.75,3.6,1.73,4.6,3.6,1.7,4.3,3.4,1.75,5.25,3.8,1.73,5.0,3.6,1.7
1322,25.0,67850000.0,3.0,19380000.0,5.25,3.6,1.66,5.4,3.7,1.55,6.0,3.7,1.55,5.5,3.4,1.6,4.5,3.5,1.62
889,23.0,24630000.0,1.0,17750000.0,4.0,3.4,1.9,3.95,3.25,1.85,4.0,3.2,1.8,4.35,3.3,1.75,4.33,3.2,1.73
888,4.0,402200000.0,38.0,121250000.0,2.0,3.3,3.75,1.95,3.05,3.8,2.0,3.2,3.3,2.1,3.3,3.75,1.95,3.25,3.3
3826,4.0,618500000.0,33.0,254500000.0,1.3,6.0,9.0,1.3,5.5,10.0,1.33,4.8,8.3,1.33,5.5,10.0,1.3,5.5,9.0
3601,36.0,88600000.0,33.0,137300000.0,3.6,3.5,2.05,3.7,3.5,2.05,3.8,3.45,1.9,3.75,3.6,2.1,3.5,3.5,2.05
3154,25.0,44300000.0,36.0,62800000.0,9.0,5.0,1.33,9.25,4.4,1.37,6.8,4.6,1.4,10.0,4.8,1.4,8.0,4.5,1.4
3216,12.0,65100000.0,2.0,115100000.0,7.5,5.0,1.36,8.5,4.75,1.35,7.3,4.4,1.4,10.0,5.25,1.36,9.0,4.5,1.36
3206,11.0,55700000.0,3.0,262100000.0,12.0,5.0,1.29,9.5,4.75,1.33,10.0,5.2,1.28,12.0,5.5,1.3,11.0,4.5,1.33
2215,12.0,79500000.0,11.0,74600000.0,3.5,3.25,2.1,3.8,3.3,2.05,3.3,3.3,2.0,3.75,3.4,2.15,3.6,3.2,2.1
4785,30.0,165100000.0,21.0,88430000.0,1.72,3.6,5.25,1.75,3.5,5.25,1.75,3.6,4.8,1.75,3.7,4.8,1.73,3.6,5.0
478,2.0,43650000.0,11.0,59850000.0,3.3,3.1,2.2,3.35,3.05,2.1,3.2,2.9,2.2,3.0,3.2,2.1,3.3,2.8,2.15
1754,34.0,49900000.0,31.0,42700000.0,3.25,3.25,2.25,3.1,3.2,2.25,3.1,3.3,2.1,3.2,3.2,2.2,2.9,3.2,2.3
3494,35.0,52600000.0,30.0,107500000.0,4.2,3.5,1.91,3.8,3.5,1.91,4.2,3.5,1.8,4.5,3.75,1.87,4.5,3.4,1.85
5058,12.0,69500000.0,5.0,180330000.0,3.4,3.0,2.3,3.4,3.0,2.35,3.35,3.05,2.35,3.25,3.1,2.4,3.6,3.1,2.25
5076,4.0,1160000000.0,5.0,180330000.0,1.4,5.0,7.0,1.4,5.25,6.75,1.4,4.9,7.4,1.44,5.0,6.5,1.44,4.8,6.5
3509,15.0,60980000.0,17.0,48600000.0,3.4,3.2,2.2,3.1,3.2,2.3,3.2,3.2,2.2,3.75,3.2,2.25,3.4,3.0,2.3
3120,25.0,44300000.0,5.0,69000000.0,4.5,3.5,1.8,4.5,3.5,1.8,3.8,3.45,1.9,5.0,3.5,1.83,4.5,3.3,1.83
1375,2.0,59900000.0,31.0,19700000.0,2.62,3.3,2.62,2.35,3.35,2.65,2.55,3.3,2.55,2.4,3.2,2.7,2.5,3.1,2.5
1473,2.0,76350000.0,34.0,49900000.0,2.88,3.3,2.4,2.8,3.25,2.3,2.85,3.2,2.4,2.62,3.25,2.4,2.62,3.2,2.3
394,27.0,22200000.0,36.0,98850000.0,7.0,3.75,1.5,6.75,3.75,1.45,5.5,3.5,1.55,6.5,3.6,1.45,6.5,3.6,1.44
2240,5.0,46700000.0,26.0,525200000.0,16.0,8.0,1.14,18.0,8.25,1.12,14.0,7.0,1.12,19.0,9.0,1.14,19.0,8.0,1.12
4802,11.0,85450000.0,3.0,585000000.0,10.0,4.2,1.39,10.0,4.6,1.36,7.5,4.8,1.4,10.0,4.6,1.4,9.0,4.2,1.4
2435,12.0,79500000.0,36.0,150150000.0,4.0,3.4,1.91,4.33,3.4,1.91,3.8,3.4,1.85,4.2,3.5,1.95,4.33,3.4,1.85
308,5.0,78100000.0,6.0,1650000.0,2.9,3.2,2.37,2.8,3.15,2.35,2.7,3.0,2.5,2.75,3.0,2.35,2.7,3.0,2.37
953,2.0,64180000.0,27.0,39900000.0,2.9,3.3,2.37,2.9,3.1,2.3,2.7,3.1,2.4,3.2,3.2,2.1,2.75,3.1,2.3
108,3.0,113700000.0,29.0,73250000.0,3.4,3.25,2.0,3.2,3.2,2.1,3.1,3.0,2.2,3.2,3.2,2.0,3.1,3.1,2.1
306,12.0,15950000.0,25.0,24000000.0,5.5,3.4,1.66,5.15,3.5,1.6,4.3,3.2,1.75,4.6,3.5,1.6,4.5,3.3,1.66
3142,2.0,115100000.0,25.0,44300000.0,2.15,3.2,3.5,2.15,3.25,3.4,2.2,3.3,3.1,2.2,3.3,3.6,2.25,3.2,3.3
5047,35.0,58750000.0,12.0,69500000.0,5.5,3.6,1.7,5.25,3.6,1.72,5.2,3.5,1.75,5.5,3.6,1.75,5.5,3.6,1.7
418,30.0,41980000.0,17.0,92000000.0,6.0,3.6,1.57,5.0,3.6,1.6,4.7,3.4,1.65,5.0,3.5,1.55,5.5,3.3,1.57
2566,35.0,41700000.0,5.0,51400000.0,5.0,3.6,1.7,4.75,3.7,1.7,4.3,3.4,1.75,5.4,3.9,1.7,4.8,3.75,1.7
2219,33.0,169900000.0,29.0,145500000.0,3.1,3.25,2.3,3.2,3.3,2.2,3.1,3.3,2.1,3.2,3.5,2.3,3.2,3.2,2.3
1590,31.0,42700000.0,3.0,214000000.0,6.0,3.8,1.57,5.7,3.8,1.55,6.5,3.9,1.5,6.0,3.6,1.57,6.0,3.8,1.5
1563,3.0,214000000.0,32.0,21600000.0,2.25,3.4,3.1,2.2,3.2,3.15,2.2,3.4,3.0,2.2,3.4,3.0,2.25,3.2,3.0
2454,35.0,34000000.0,21.0,128200000.0,5.0,3.75,1.67,5.25,3.6,1.67,4.6,3.5,1.65,5.25,4.1,1.7,4.5,4.0,1.7
3615,3.0,289000000.0,21.0,62350000.0,2.0,3.4,3.8,2.05,3.4,3.9,2.0,3.3,3.6,2.1,3.4,4.0,2.05,3.1,4.0
4836,19.0,92280000.0,2.0,208900000.0,5.5,3.3,1.75,5.0,3.5,1.78,4.4,3.5,1.85,5.0,3.4,1.8,4.75,3.4,1.8
3319,30.0,107500000.0,9.0,21100000.0,2.2,3.4,3.25,2.25,3.2,3.2,2.2,3.3,3.1,2.25,3.4,3.5,2.25,3.2,3.3
452,17.0,92000000.0,12.0,21780000.0,2.9,3.2,2.37,2.8,3.2,2.3,2.9,3.0,2.3,2.65,3.1,2.35,2.75,3.1,2.3
3978,26.0,700500000.0,18.0,29250000.0,1.33,5.25,9.5,1.3,5.5,8.75,1.35,4.8,7.6,1.36,5.5,8.5,1.36,5.0,8.0
4834,12.0,69500000.0,26.0,1090000000.0,13.0,7.0,1.2,16.0,7.25,1.18,15.0,6.5,1.2,13.0,7.0,1.2,13.0,6.0,1.22
735,7.0,46950000.0,3.0,155830000.0,5.0,3.6,1.66,4.95,3.65,1.6,5.5,3.8,1.5,4.5,3.6,1.6,4.5,3.5,1.61
4907,12.0,69500000.0,35.0,58750000.0,2.5,3.3,2.9,2.5,3.25,2.9,2.55,3.15,2.95,2.6,3.2,3.0,2.55,3.2,2.9
981,12.0,45950000.0,20.0,39000000.0,2.2,3.3,3.25,2.2,3.2,3.0,2.2,3.0,3.1,2.2,3.1,3.1,2.3,3.1,2.75
2715,34.0,23850000.0,17.0,59300000.0,3.25,3.3,2.2,3.1,3.2,2.3,2.9,3.3,2.3,3.12,3.4,2.38,3.1,3.3,2.3
345,11.0,55500000.0,38.0,52750000.0,3.2,3.1,2.25,3.25,3.15,2.1,2.9,3.2,2.2,2.7,3.25,2.25,2.8,3.0,2.3
2982,12.0,65100000.0,26.0,606600000.0,19.0,8.5,1.13,18.0,9.25,1.11,15.0,7.0,1.15,23.0,11.0,1.12,17.0,9.0,1.11
2468,26.0,525200000.0,25.0,40350000.0,1.4,4.5,8.0,1.42,4.6,7.75,1.4,4.1,7.0,1.44,4.8,8.0,1.4,4.5,7.5
3924,11.0,61700000.0,33.0,254500000.0,5.0,3.6,1.75,4.75,3.6,1.78,4.0,3.45,1.85,5.0,3.8,1.75,5.0,3.3,1.8
