,Date,HomeTeam,HomeValue,AwayTeam,AwayValue,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,VCH,VCD,VCA,WHH,WHD,WHA,HTR,FTR
0,2005-08-27,Alaves,20950000.0,Barcelona,275230000.0,7.0,3.75,1.5,7.0,3.7,1.45,5.4,3.5,1.5,6.5,3.75,1.45,6.0,3.4,1.5,D,D
2,2005-08-27,Valencia,21090000.0,Betis,78100000.0,2.0,3.25,3.25,1.75,3.3,4.4,1.9,3.0,3.6,1.85,3.25,3.75,1.95,3.1,3.5,D,H
3,2005-08-28,Ath Madrid,113700000.0,Zaragoza,52750000.0,1.72,3.4,4.0,1.65,3.4,4.9,1.7,3.1,4.4,1.65,3.4,4.5,1.7,3.2,4.5,D,D
4,2005-08-28,Cadiz,1650000.0,Real Madrid,283750000.0,7.5,4.0,1.44,8.0,4.25,1.35,5.4,3.5,1.5,6.5,3.6,1.45,6.5,3.6,1.44,A,A
5,2005-08-28,Celta,36350000.0,Malaga,21100000.0,2.1,3.25,3.0,2.1,3.1,3.3,2.1,2.9,3.2,2.0,3.2,3.25,2.15,3.1,3.0,H,H
6,2005-08-28,Espanol,55500000.0,Getafe,15950000.0,1.61,3.4,5.0,1.65,3.5,4.75,1.7,3.1,4.4,1.6,3.3,5.0,1.66,3.3,4.5,D,A
7,2005-08-28,Mallorca,39900000.0,La Coruna,118700000.0,2.7,3.2,2.3,2.65,3.1,2.5,2.3,3.0,2.7,2.5,3.1,2.5,2.37,3.1,2.62,A,A
8,2005-08-28,Osasuna,24000000.0,Villarreal,70000000.0,2.7,3.2,2.3,2.7,3.15,2.4,2.5,3.0,2.5,2.9,3.0,2.25,2.75,3.2,2.25,H,H
9,2005-08-28,Sevilla,73250000.0,Santander,22850000.0,1.66,3.4,4.5,1.65,3.5,4.7,1.6,3.3,4.8,1.6,3.3,5.0,1.57,3.3,5.5,H,H
10,2005-10-09,Betis,78100000.0,Osasuna,24000000.0,1.66,3.4,4.5,1.65,3.35,5.0,1.75,3.2,4.0,1.65,3.3,4.6,1.61,3.3,5.0,D,H
11,2005-10-09,La Coruna,118700000.0,Ath Madrid,113700000.0,2.0,3.25,3.25,2.15,3.1,3.2,2.0,3.1,3.2,1.9,3.2,3.6,2.0,3.1,3.3,D,H
12,2005-10-09,Real Madrid,283750000.0,Celta,36350000.0,1.25,5.0,9.0,1.2,5.5,11.5,1.25,4.5,9.0,1.25,4.5,10.0,1.2,5.0,11.0,D,A
13,2005-11-09,Barcelona,275230000.0,Mallorca,39900000.0,1.2,5.0,12.0,1.2,5.5,11.5,1.25,4.5,9.0,1.18,5.5,11.0,1.2,5.0,11.0,H,H
14,2005-11-09,Getafe,15950000.0,Ath Bilbao,38700000.0,2.3,3.2,2.7,2.4,3.15,2.7,2.3,3.0,2.7,2.3,3.1,2.75,2.25,3.1,2.8,D,D
15,2005-11-09,Malaga,21100000.0,Espanol,55500000.0,2.1,3.25,3.0,2.2,3.05,3.15,2.2,3.0,2.9,2.2,3.1,2.9,2.0,3.2,3.2,D,A
16,2005-11-09,Santander,22850000.0,Cadiz,1650000.0,1.9,3.25,3.5,1.9,3.1,3.95,1.9,3.1,3.5,1.84,3.2,3.75,1.83,3.2,3.75,D,A
17,2005-11-09,Sociedad,46250000.0,Alaves,20950000.0,1.9,3.25,3.5,1.8,3.25,4.2,1.8,3.1,3.8,1.84,3.25,3.75,1.9,3.1,3.6,H,H
18,2005-11-09,Villarreal,70000000.0,Sevilla,73250000.0,1.8,3.25,4.0,1.85,3.2,4.0,1.8,3.1,3.8,1.84,3.25,3.75,1.9,3.2,3.5,A,D
19,2005-11-09,Zaragoza,52750000.0,Valencia,21090000.0,2.5,3.2,2.5,2.5,3.15,2.6,2.5,3.0,2.5,2.6,3.0,2.5,2.4,3.1,2.6,H,D
20,2005-09-17,Mallorca,39900000.0,Sociedad,46250000.0,2.3,3.2,3.0,2.3,3.1,2.9,2.2,3.0,2.9,2.25,3.2,2.8,2.15,3.1,3.0,A,H
21,2005-09-17,Valencia,21090000.0,La Coruna,118700000.0,2.0,3.2,3.75,1.8,3.25,4.15,1.9,3.1,3.5,1.8,3.25,4.0,1.83,3.2,3.75,A,D
22,2005-09-18,Alaves,20950000.0,Getafe,15950000.0,2.2,3.25,3.2,2.1,3.1,3.3,2.1,3.0,3.1,2.1,3.2,3.0,2.0,3.1,3.3,A,A
23,2005-09-18,Ath Bilbao,38700000.0,Malaga,21100000.0,1.72,3.3,5.0,1.7,3.35,4.65,1.75,3.2,4.0,1.73,3.4,4.0,1.66,3.3,4.5,D,A
24,2005-09-18,Ath Madrid,113700000.0,Barcelona,275230000.0,3.75,3.2,2.0,3.65,3.15,1.95,3.2,3.1,2.0,3.6,3.4,1.84,3.1,3.1,2.1,D,H
25,2005-09-18,Betis,78100000.0,Zaragoza,52750000.0,1.8,3.3,4.5,1.7,3.25,4.85,1.75,3.2,4.0,1.75,3.2,4.5,1.72,3.2,4.33,D,D
