Date,HomeTeam,HomeValue,AwayTeam,AwayValue,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,VCH,VCD,VCA,WHH,WHD,WHA,HTR,FTR
2005-08-27,Alaves,20950000,Barcelona,275230000,7.0,3.75,1.5,7.0,3.7,1.45,5.4,3.5,1.5,6.5,3.75,1.45,6.0,3.4,1.5,D,D
2005-08-27,Valencia,21090000,Betis,78100000,2.0,3.25,3.25,1.75,3.3,4.4,1.9,3.0,3.6,1.85,3.25,3.75,1.95,3.1,3.5,D,H
2005-08-28,Ath Madrid,113700000,Zaragoza,52750000,1.72,3.4,4.0,1.65,3.4,4.9,1.7,3.1,4.4,1.65,3.4,4.5,1.7,3.2,4.5,D,D
2005-08-28,Cadiz,1650000,Real Madrid,283750000,7.5,4.0,1.44,8.0,4.25,1.35,5.4,3.5,1.5,6.5,3.6,1.45,6.5,3.6,1.44,A,A
2005-08-28,Celta,36350000,Malaga,21100000,2.1,3.25,3.0,2.1,3.1,3.3,2.1,2.9,3.2,2.0,3.2,3.25,2.15,3.1,3.0,H,H
2005-08-28,Espanol,55500000,Getafe,15950000,1.61,3.4,5.0,1.65,3.5,4.75,1.7,3.1,4.4,1.6,3.3,5.0,1.66,3.3,4.5,D,A
2005-08-28,Mallorca,39900000,La Coruna,118700000,2.7,3.2,2.3,2.65,3.1,2.5,2.3,3.0,2.7,2.5,3.1,2.5,2.37,3.1,2.62,A,A
2005-08-28,Osasuna,24000000,Villarreal,70000000,2.7,3.2,2.3,2.7,3.15,2.4,2.5,3.0,2.5,2.9,3.0,2.25,2.75,3.2,2.25,H,H
2005-08-28,Sevilla,73250000,Santander,22850000,1.66,3.4,4.5,1.65,3.5,4.7,1.6,3.3,4.8,1.6,3.3,5.0,1.57,3.3,5.5,H,H
2005-10-09,Betis,78100000,Osasuna,24000000,1.66,3.4,4.5,1.65,3.35,5.0,1.75,3.2,4.0,1.65,3.3,4.6,1.61,3.3,5.0,D,H
2005-10-09,La Coruna,118700000,Ath Madrid,113700000,2.0,3.25,3.25,2.15,3.1,3.2,2.0,3.1,3.2,1.9,3.2,3.6,2.0,3.1,3.3,D,H
2005-10-09,Real Madrid,283750000,Celta,36350000,1.25,5.0,9.0,1.2,5.5,11.5,1.25,4.5,9.0,1.25,4.5,10.0,1.2,5.0,11.0,D,A
2005-11-09,Barcelona,275230000,Mallorca,39900000,1.2,5.0,12.0,1.2,5.5,11.5,1.25,4.5,9.0,1.18,5.5,11.0,1.2,5.0,11.0,H,H
2005-11-09,Getafe,15950000,Ath Bilbao,38700000,2.3,3.2,2.7,2.4,3.15,2.7,2.3,3.0,2.7,2.3,3.1,2.75,2.25,3.1,2.8,D,D
2005-11-09,Malaga,21100000,Espanol,55500000,2.1,3.25,3.0,2.2,3.05,3.15,2.2,3.0,2.9,2.2,3.1,2.9,2.0,3.2,3.2,D,A
2005-11-09,Santander,22850000,Cadiz,1650000,1.9,3.25,3.5,1.9,3.1,3.95,1.9,3.1,3.5,1.84,3.2,3.75,1.83,3.2,3.75,D,A
2005-11-09,Sociedad,46250000,Alaves,20950000,1.9,3.25,3.5,1.8,3.25,4.2,1.8,3.1,3.8,1.84,3.25,3.75,1.9,3.1,3.6,H,H
2005-11-09,Villarreal,70000000,Sevilla,73250000,1.8,3.25,4.0,1.85,3.2,4.0,1.8,3.1,3.8,1.84,3.25,3.75,1.9,3.2,3.5,A,D
2005-11-09,Zaragoza,52750000,Valencia,21090000,2.5,3.2,2.5,2.5,3.15,2.6,2.5,3.0,2.5,2.6,3.0,2.5,2.4,3.1,2.6,H,D
