,AwayTeam,AwayValue,HomeTeam,HomeValue,B365A,B365D,B365H,BWA,BWD,BWH,IWA,IWD,IWH,VCA,VCD,VCH,WHA,WHD,WHH
4464,18.0,89400000.0,21.0,58150000.0,3.6,3.1,2.2,3.5,3.25,2.2,3.3,3.35,2.2,3.7,3.25,2.2,3.3,3.2,2.25
4,22.0,21100000.0,7.0,36350000.0,3.0,3.25,2.1,3.3,3.1,2.1,3.2,2.9,2.1,3.25,3.2,2.0,3.0,3.1,2.15
1982,27.0,506900000.0,1.0,64350000.0,1.25,6.0,10.0,1.25,5.5,10.0,1.22,5.3,11.0,1.25,6.5,13.0,1.25,5.5,12.0
4302,22.0,73900000.0,9.0,52100000.0,3.8,3.4,2.05,3.7,3.4,2.05,3.3,3.35,2.2,3.75,3.5,2.1,3.75,3.5,2.05
3158,5.0,69000000.0,34.0,180650000.0,7.0,4.33,1.44,7.0,4.4,1.44,7.0,4.0,1.45,8.0,4.3,1.5,8.0,3.6,1.5
2151,34.0,178100000.0,11.0,61100000.0,2.4,3.3,2.9,2.35,3.25,2.85,2.5,3.3,2.5,2.38,3.6,3.0,2.3,3.5,2.9
1950,23.0,54230000.0,37.0,145100000.0,6.5,3.8,1.53,6.25,3.9,1.5,5.7,3.8,1.5,7.0,4.2,1.53,5.5,4.0,1.6
1159,25.0,28600000.0,2.0,59900000.0,4.2,3.5,1.85,4.1,3.15,1.85,3.8,3.2,1.85,4.5,3.3,1.8,3.8,3.25,1.8
2378,27.0,525200000.0,12.0,79500000.0,1.33,5.0,9.0,1.33,4.75,9.25,1.33,4.6,7.8,1.36,5.4,9.5,1.33,5.0,9.0
989,39.0,121250000.0,11.0,62700000.0,3.0,3.3,2.3,3.15,3.15,2.15,2.7,3.1,2.4,2.75,3.2,2.35,2.8,3.2,2.2
3559,37.0,88600000.0,27.0,647650000.0,13.0,7.0,1.2,9.75,6.0,1.25,10.5,6.0,1.22,13.0,7.0,1.25,12.0,5.5,1.25
4478,19.0,123000000.0,22.0,88430000.0,3.8,3.5,2.0,3.8,3.5,2.0,4.1,3.5,1.9,3.6,3.6,2.0,3.6,3.5,2.0
2002,2.0,98300000.0,3.0,196600000.0,4.33,3.5,1.83,4.5,3.7,1.7,4.1,3.5,1.75,4.5,3.8,1.83,4.5,3.5,1.8
272,2.0,38700000.0,7.0,36350000.0,4.5,3.3,1.8,4.25,3.4,1.75,4.2,3.3,1.75,4.5,3.25,1.65,4.5,3.3,1.66
2934,3.0,177500000.0,39.0,50050000.0,3.1,3.5,2.2,2.9,3.6,2.25,3.5,3.7,1.85,3.2,3.5,2.3,3.1,3.5,2.2
2083,31.0,43500000.0,29.0,62350000.0,3.6,3.5,2.0,3.75,3.3,1.95,3.7,3.3,1.9,4.0,3.5,2.0,3.6,3.3,2.05
1679,32.0,42700000.0,27.0,489400000.0,19.0,8.0,1.13,14.5,7.5,1.14,15.0,6.5,1.15,23.0,8.5,1.1,17.0,7.0,1.12
3489,3.0,289000000.0,4.0,598450000.0,5.5,4.33,1.57,5.0,4.1,1.6,5.0,3.9,1.6,6.25,4.2,1.6,6.0,3.6,1.62
1297,28.0,46680000.0,34.0,19850000.0,4.33,3.4,1.91,4.0,3.35,1.8,4.3,3.4,1.8,4.5,3.4,1.8,3.75,3.2,1.83
5035,4.0,1160000000.0,14.0,80150000.0,1.33,5.25,10.0,1.33,5.25,9.5,1.33,5.3,8.8,1.33,5.5,9.0,1.33,5.5,8.5
258,39.0,52750000.0,31.0,46250000.0,2.87,3.2,2.4,2.9,3.1,2.3,2.7,3.1,2.4,2.65,3.1,2.35,2.87,3.0,2.25
2075,2.0,98300000.0,12.0,686000000.0,2.8,3.25,2.3,2.9,3.2,2.35,2.75,3.3,2.3,2.88,3.5,2.5,3.0,3.2,2.4
4226,11.0,84700000.0,4.0,787200000.0,26.0,10.0,1.1,21.0,11.0,1.1,15.0,7.5,1.17,21.0,11.5,1.09,26.0,11.0,1.1
4627,11.0,85450000.0,22.0,88430000.0,3.1,3.0,2.54,3.1,3.0,2.55,3.0,3.1,2.5,3.0,3.1,2.55,2.9,3.0,2.6
