,Date,HomeTeam,AwayTeam,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,VCH,VCD,VCA,WHH,WHD,WHA,HTR,FTR
0,27/08/05,Alaves,Barcelona,7.0,3.75,1.5,7.0,3.7,1.45,5.4,3.5,1.5,6.5,3.75,1.45,6.0,3.4,1.5,D,D
2,27/08/05,Valencia,Betis,2.0,3.25,3.25,1.75,3.3,4.4,1.9,3.0,3.6,1.85,3.25,3.75,1.95,3.1,3.5,D,H
3,28/08/05,Ath Madrid,Zaragoza,1.72,3.4,4.0,1.65,3.4,4.9,1.7,3.1,4.4,1.65,3.4,4.5,1.7,3.2,4.5,D,D
4,28/08/05,Cadiz,Real Madrid,7.5,4.0,1.44,8.0,4.25,1.35,5.4,3.5,1.5,6.5,3.6,1.45,6.5,3.6,1.44,A,A
5,28/08/05,Celta,Malaga,2.1,3.25,3.0,2.1,3.1,3.3,2.1,2.9,3.2,2.0,3.2,3.25,2.15,3.1,3.0,H,H
6,28/08/05,Espanol,Getafe,1.61,3.4,5.0,1.65,3.5,4.75,1.7,3.1,4.4,1.6,3.3,5.0,1.66,3.3,4.5,D,A
7,28/08/05,Mallorca,La Coruna,2.7,3.2,2.3,2.65,3.1,2.5,2.3,3.0,2.7,2.5,3.1,2.5,2.37,3.1,2.62,A,A
8,28/08/05,Osasuna,Villarreal,2.7,3.2,2.3,2.7,3.15,2.4,2.5,3.0,2.5,2.9,3.0,2.25,2.75,3.2,2.25,H,H
9,28/08/05,Sevilla,Santander,1.66,3.4,4.5,1.65,3.5,4.7,1.6,3.3,4.8,1.6,3.3,5.0,1.57,3.3,5.5,H,H
10,10/09/05,Betis,Osasuna,1.66,3.4,4.5,1.65,3.35,5.0,1.75,3.2,4.0,1.65,3.3,4.6,1.61,3.3,5.0,D,H
11,10/09/05,La Coruna,Ath Madrid,2.0,3.25,3.25,2.15,3.1,3.2,2.0,3.1,3.2,1.9,3.2,3.6,2.0,3.1,3.3,D,H
12,10/09/05,Real Madrid,Celta,1.25,5.0,9.0,1.2,5.5,11.5,1.25,4.5,9.0,1.25,4.5,10.0,1.2,5.0,11.0,D,A
13,11/09/05,Barcelona,Mallorca,1.2,5.0,12.0,1.2,5.5,11.5,1.25,4.5,9.0,1.18,5.5,11.0,1.2,5.0,11.0,H,H
